Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LSSSSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,479,360
  scalars                 : 14
  total                   : 47,645,198
Estimated FLOPs per token: 2.166651e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011503 | lrm: 1.00 | dt: 15641ms | tok/sec: 33,520 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.125709 | lrm: 1.00 | dt: 278ms | tok/sec: 1,885,359 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.870928 | lrm: 1.00 | dt: 280ms | tok/sec: 1,869,180 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.433020 | lrm: 1.00 | dt: 280ms | tok/sec: 1,874,444 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.042239 | lrm: 1.00 | dt: 300ms | tok/sec: 1,747,003 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.638421 | lrm: 1.00 | dt: 284ms | tok/sec: 1,847,923 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.371412 | lrm: 1.00 | dt: 281ms | tok/sec: 1,866,224 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.148875 | lrm: 1.00 | dt: 292ms | tok/sec: 1,792,579 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.969417 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,506 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.770024 | lrm: 1.00 | dt: 283ms | tok/sec: 1,849,955 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.617823 | lrm: 1.00 | dt: 284ms | tok/sec: 1,843,046 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.448731 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,392 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.355010 | lrm: 1.00 | dt: 287ms | tok/sec: 1,828,708 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.323933 | lrm: 1.00 | dt: 282ms | tok/sec: 1,860,537 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00115 (10.0%) | loss: 4.433231 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,977 | mfu: 39.7% | epoch: 1 | remaining: 270s    
step 00116 (10.1%) | loss: 4.442154 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,565 | mfu: 39.6% | epoch: 1 | remaining: 269s    
step 00117 (10.2%) | loss: 4.409084 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,606 | mfu: 39.7% | epoch: 1 | remaining: 269s    
step 00118 (10.3%) | loss: 4.397873 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,146 | mfu: 39.7% | epoch: 1 | remaining: 269s    
step 00119 (10.4%) | loss: 4.375374 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,908 | mfu: 39.8% | epoch: 1 | remaining: 269s    
step 00120 (10.5%) | loss: 4.387993 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,622 | mfu: 39.5% | epoch: 1 | remaining: 268s    
step 00121 (10.6%) | loss: 4.363075 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,228 | mfu: 39.6% | epoch: 1 | remaining: 268s    
step 00122 (10.7%) | loss: 4.354997 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,823 | mfu: 39.7% | epoch: 1 | remaining: 268s    
step 00123 (10.8%) | loss: 4.333477 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,893 | mfu: 39.4% | epoch: 1 | remaining: 267s    
step 00124 (10.9%) | loss: 4.352171 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,312 | mfu: 39.6% | epoch: 1 | remaining: 267s    
step 00125 (11.0%) | loss: 4.325350 | lrm: 1.00 | dt: 289ms | tok/sec: 1,817,066 | mfu: 39.8% | epoch: 1 | remaining: 267s    
step 00126 (11.1%) | loss: 4.300700 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,868 | mfu: 39.7% | epoch: 1 | remaining: 267s    
step 00127 (11.2%) | loss: 4.306417 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,314 | mfu: 39.7% | epoch: 1 | remaining: 266s    
step 00128 (11.3%) | loss: 4.319136 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,677 | mfu: 39.8% | epoch: 1 | remaining: 266s    
step 00129 (11.3%) | loss: 4.318410 | lrm: 1.00 | dt: 287ms | tok/sec: 1,828,922 | mfu: 40.0% | epoch: 1 | remaining: 266s    
step 00130 (11.4%) | loss: 4.312760 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,683 | mfu: 39.6% | epoch: 1 | remaining: 265s    
step 00131 (11.5%) | loss: 4.313582 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,438 | mfu: 39.7% | epoch: 1 | remaining: 265s    
step 00132 (11.6%) | loss: 4.305846 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,667 | mfu: 39.6% | epoch: 1 | remaining: 265s    
step 00133 (11.7%) | loss: 4.298509 | lrm: 1.00 | dt: 288ms | tok/sec: 1,822,098 | mfu: 39.9% | epoch: 1 | remaining: 265s    
step 00134 (11.8%) | loss: 4.277087 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,676 | mfu: 39.5% | epoch: 1 | remaining: 264s    
step 00135 (11.9%) | loss: 4.339719 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,731 | mfu: 39.3% | epoch: 1 | remaining: 264s    
step 00136 (12.0%) | loss: 4.328798 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,461 | mfu: 39.8% | epoch: 1 | remaining: 264s    
step 00137 (12.1%) | loss: 4.283351 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,163 | mfu: 39.8% | epoch: 1 | remaining: 263s    
step 00138 (12.2%) | loss: 4.220659 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,918 | mfu: 39.5% | epoch: 1 | remaining: 263s    
step 00139 (12.3%) | loss: 4.153178 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,558 | mfu: 39.6% | epoch: 1 | remaining: 263s    
step 00140 (12.4%) | loss: 4.066020 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,161 | mfu: 39.7% | epoch: 1 | remaining: 262s    
step 00141 (12.5%) | loss: 4.148532 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,304 | mfu: 39.6% | epoch: 1 | remaining: 262s    
step 00142 (12.6%) | loss: 4.190283 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,681 | mfu: 39.9% | epoch: 1 | remaining: 262s    
step 00143 (12.7%) | loss: 4.211825 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,280 | mfu: 39.6% | epoch: 1 | remaining: 262s    
step 00144 (12.8%) | loss: 4.250743 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,054 | mfu: 39.6% | epoch: 1 | remaining: 261s    
step 00145 (12.9%) | loss: 4.247041 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,745 | mfu: 39.4% | epoch: 1 | remaining: 261s    
step 00146 (13.0%) | loss: 4.286061 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,113 | mfu: 39.6% | epoch: 1 | remaining: 261s    
step 00147 (13.1%) | loss: 4.360195 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,944 | mfu: 39.7% | epoch: 1 | remaining: 260s    
step 00148 (13.2%) | loss: 4.351276 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,651 | mfu: 39.7% | epoch: 1 | remaining: 260s    
step 00149 (13.3%) | loss: 4.339215 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,083 | mfu: 39.7% | epoch: 1 | remaining: 260s    
step 00150 (13.4%) | loss: 4.317943 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,649 | mfu: 39.8% | epoch: 1 | remaining: 260s    
step 00151 (13.5%) | loss: 4.317199 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,476 | mfu: 39.8% | epoch: 1 | remaining: 259s    
step 00152 (13.6%) | loss: 4.273247 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,390 | mfu: 39.7% | epoch: 1 | remaining: 259s    
