commit	val_bpb	memory_gb	status	description
4bee5f2	1.231364	20.1	keep	final Muon momentum 0.93
06d2113	1.229516	20.1	keep	final Muon momentum 0.91
fc733fc	1.228225	20.1	keep	final Muon momentum 0.89
c52844f	1.227259	20.1	keep	final Muon momentum 0.87
e9c576a	1.226465	20.1	keep	constant Muon momentum 0.85
db65cce	1.225522	20.1	keep	constant Muon momentum 0.83
f088d11	1.226790	20.1	discard	constant Muon momentum 0.80
4679dd7	1.226022	20.1	discard	constant Muon momentum 0.82
6376cf7	1.226530	20.1	discard	constant Muon momentum 0.84
0e271fe	1.226636	20.1	discard	learning-rate warmdown over final 40 percent with low momentum
b2ebe0a	1.225260	20.1	keep	learning-rate warmdown over final 60 percent with low momentum
589ea94	1.226377	20.1	discard	learning-rate warmdown over final 70 percent
a49da6b	1.225877	20.1	discard	learning-rate warmdown over final 65 percent
7975458	1.225886	20.1	discard	learning-rate warmdown over final 55 percent
3f04fed	1.225478	20.1	discard	final learning-rate fraction 0.05
9dce303	1.234274	20.1	discard	total batch 262K tokens with low momentum
560893e	1.262918	10.4	discard	train with 512-token sequences
6fd4251	1.236451	39.6	discard	device batch 256 with low momentum
bb6db6b	1.223947	20.1	keep	one full-context evaluation layer
380723f	1.224234	20.1	discard	all layers use 1024-token sliding attention
f2a8895	1.225781	20.1	discard	full-context layer at model midpoint
c7a9dae	1.224911	20.1	discard	full-context layer in penultimate block
19afc94	1.226976	20.1	discard	768-token sliding windows
327c886	1.230214	22.6	discard	8-layer tuned SwiGLU model
484c8e0	1.239532	18.0	discard	natural 448 model width
3150809	1.231113	20.1	discard	two percent LR warmup
4dc1562	1.223923	20.1	keep	low-momentum Muon weight decay 0.15
a447dda	1.223537	20.1	keep	low-momentum Muon weight decay 0.20
829b910	1.224572	20.1	discard	low-momentum Muon weight decay 0.25
8aaeb05	1.223533	20.1	keep	low-momentum matrix learning rate 0.045
ea1b462	1.226173	20.1	discard	low-momentum matrix learning rate 0.050
f6b4fce	1.224087	20.1	discard	low-momentum matrix learning rate 0.0425
020f3e1	1.226947	20.1	discard	1280-token sliding windows
54ea023	1.227149	20.1	discard	full-context first and final attention layers
